grid_id,1st_bus_stop,1st_stop_id,1st_dist_m,2nd_bus_stop,2nd_stop_id,2nd_dist_m,3rd_bus_stop,3rd_stop_id,3rd_dist_m,tmap_success,walk_time_min,walk_dist_m
마마3077, 전경부대앞,570022.0,372.5, 전경부대건너,570065.0,372.5, 한신더휴영천퍼스트.세왕금속,570023.0,482.1,Y,4.9,379
마마2674, 쌍계동,571480.0,659.9, 영천교통,571477.0,735.5, 오수동e마트,570103.0,830.9,Y,20.9,1519
마마2675, 쌍계동,571480.0,891.2, 서문주유소건너,571260.0,1096.4, 화룡삼거리(영천방면),571259.0,1124.3,Y,29.1,2280
마마2775, 서문주유소건너,571260.0,179.7, 서문주유소,570975.0,192.1, 북영천역,571261.0,364.1,Y,11.9,923
마마2575, 대미2리(영천방면),571209.0,1154.0, 대동마을회관,571214.0,1221.1, 서산동종점,571564.0,1229.0,N_PathError,,
마마2576, 도향사건너,571566.0,441.1, 도향사앞,571562.0,475.6, 서산교(영천방면),571568.0,572.6,Y,10.4,803
마마2776, 영남실버건너,571707.0,67.9, 영남실버입구,571708.0,171.1, 화룡삼거리(화산방면),570976.0,302.2,Y,3.1,214
마마2676, 대전입구건너,571250.0,541.4, 대전입구,570977.0,550.9, 서산(영천방면),571249.0,611.5,Y,9.5,734
마마2577, 도향사앞,571562.0,592.6, 태양고물상건너,571248.0,626.7, 호당1리입구건너,570980.0,645.7,Y,3.0,234
마마2677, 태양고물상,570979.0,255.8, 서산(화산방면),570978.0,357.8, 태양고물상건너,571248.0,381.3,Y,12.3,953
마마2777, 대전1동마을회관건너,571253.0,136.5, 대전1동마을회관앞,571256.0,158.8, 동림사입구,571257.0,215.0,Y,2.0,155
마마2977, 야사신주공아파트앞,570028.0,1113.3, 무궁화아파트앞,570030.0,1223.5, 오미2동(영천방면),570590.0,1227.7,Y,23.1,1774
마마2877, 오미(영천방면),570591.0,333.9, 오미2동(화남방면),570539.0,423.7, 오미2동(영천방면),570590.0,423.7,Y,5.3,417
마마2978, 녹전.영천영어타운건너,570541.0,1129.1, 녹전.영천영어타운입구,570588.0,1151.1, 녹전입구건너,570542.0,1200.8,Y,20.1,1391
마마2878, 녹전.영천영어타운입구,570588.0,244.9, 녹전.영천영어타운건너,570541.0,260.9, 상대전입구(화남방면),570540.0,408.7,Y,6.3,399
마마2979, 도림동,570970.0,731.4, 도림(화남방면),570543.0,964.5, 도림(영천방면),570586.0,986.1,Y,45.8,3462
마마2879, 도림(영천방면),570586.0,117.4, 도림(화남방면),570543.0,279.4, 녹전입구건너,570542.0,388.5,Y,7.1,443
마마2980, 도림1동회관,570971.0,234.3, 도림동,570970.0,607.5, 도림1동(숯골),570972.0,607.8,Y,8.5,655
마마2880, 하명마을입구건너,570544.0,206.1, 하명마을입구,570585.0,264.6, 도림동(화남방면),570545.0,412.8,Y,2.8,218
마마2981, 도림1동(숯골),570972.0,394.9, 도림교회,571662.0,557.9, 매산1동(화남방면),570547.0,647.5,Y,12.5,966
마마2881, 매산1동,570949.0,338.3, 매산1동(화남방면),570547.0,408.8, 도림2동(화남방면),570546.0,471.1,Y,6.9,418
마마3278, 동산(임고방면),571615.0,319.8, 동산(영천방면),571616.0,319.8, 매호1리.우내(영천방면),570535.0,365.3,N_PathError,,
마마3178, 창신영업소,571527.0,357.8, 신기동 마을회관,571578.0,378.3, 임시58(언하방면),571528.0,440.7,Y,5.2,403
마마3078, 임시58(언하방면),571528.0,876.0, 임시57(영천방면),571526.0,955.9, 신기동 마을회관,571578.0,956.0,Y,18.1,1373
마마3279, 매호2리.맘실(영천방면),570534.0,79.7, 매호2리.맘실(임고방면),570309.0,86.6, 양항리.돌목(영천방면),570368.0,751.2,N_PathError,,
마마3179, 신기동 마을회관,571578.0,649.6, 매호2리.맘실(영천방면),570534.0,973.8, 매호2리.맘실(임고방면),570309.0,1004.9,N_PathError,,
마마3079, 신기동 마을회관,571578.0,1092.2, 도림1동회관,570971.0,1504.4, 도림동,570970.0,1555.1,Y,123.0,9561
마마3080, 도림1동회관,570971.0,918.9, 도림1동(숯골),570972.0,1139.6, 도림동,570970.0,1500.8,Y,140.4,10916
마마3280, 양항리.돌목(임고방면),570310.0,355.0, 양항리.돌목(영천방면),570368.0,355.8, 임고서원,570367.0,556.8,N_PathError,,
마마3180, 양항리.돌목(영천방면),570368.0,1250.1, 양항리.돌목(임고방면),570310.0,1294.9, 임고서원,570367.0,1422.6,N_PathError,,
마마3378, 창상마을회관건너,570238.0,384.0, 창상마을회관앞,570227.0,384.0, 창상리.새각단(임고방면),570226.0,387.7,N_PathError,,
마마3578, 도암1리.도암교회건너,570140.0,159.6, 도암1리(새마을)(영천방면),570139.0,360.5, 부동입구(허니문모텔),571645.0,360.5,N_PathError,,
마마3478, 창상리(영천방면),570237.0,573.2, 창상리(임고방면),570228.0,573.2, 창상마을회관앞,570227.0,618.6,N_PathError,,
마마3479, 포은실버타운 건너,571625.0,382.9, 포은실버타운 앞,571626.0,391.5, 우항리(연하마을건너),570236.0,492.0,N_PathError,,
마마3379, 포은실버타운 앞,571626.0,624.0, 포은실버타운 건너,571625.0,654.9, 우항리(연하마을건너),570236.0,735.8,N_PathError,,
마마3579, 도암리.땀봉(영천방면),570170.0,886.4, 도암리.땀봉(고경방면),570141.0,903.2, 도암1리.도암교회건너,570140.0,1067.2,N_PathError,,
마마3580, 고천(우항방면),570233.0,190.2, 우항.석연정건너,570230.0,1290.0, 우항리(연하마을),570229.0,1294.3,N_PathError,,
마마3480, 우항.석연정건너,570230.0,319.4, 우항.석연정앞,570235.0,392.2, 우항리(연하마을),570229.0,392.2,N_PathError,,
마마3380, 우항.굽들(우항방면),570234.0,350.3, 우항.굽들(임고방면),570231.0,411.8, 고천(임고방면),570232.0,480.7,N_PathError,,
마마3581, 황강공단(수성방면),570316.0,812.9, 황강공단(임고방면),570362.0,834.5, 고천(우항방면),570233.0,870.8,N_PathError,,
마마2578, 호당2리입구,570981.0,124.9, 호당2리입구건너,571246.0,225.4, 호당1리입구건너,570980.0,535.4,N_PathError,,
마마2778, 상대전(화남방면),571254.0,583.0, 상대전(영천방면),571255.0,602.5, 가축위생시험소건너,570945.0,686.8,Y,8.7,672
마마2678, 호당2리입구건너,571246.0,804.4, 호당마을,571247.0,813.7, 호당1리입구건너,570980.0,813.7,N_PathError,,
마마2579, 삼부리(주유소앞),570983.0,744.7, 삼부삼거리(화산방면),570982.0,779.0, 삼부삼거리(우천전용),571581.0,779.0,N_PathError,,
마마2779, 녹전2동,570943.0,155.8, 녹전길,570946.0,159.9, 경북차량용임베디드기술연구원건너,570942.0,294.1,Y,2.7,206
마마2780, 녹동3동(영천방면),570952.0,417.5, 하명마을(화산방면),570948.0,525.0, 하명마을(영천방면),570951.0,525.0,Y,12.8,992
마마2580, 암기(당지방면),570956.0,353.2, 암기(영천방면),570939.0,356.3, 대기리(화산방면),570954.0,533.2,N_PathError,,
