격자코드,경도,위도,총인구수,최종_선정_의료기관,최종_이동시간_분,최종_주행거리_km,API_검증상태
마마3085,128.9489544,36.05765843,8,평천보건진료소,10.22,4.76,완료 (유클리드 1위 일치)
마마1974,128.8251904,35.95992374,118,청통보건지소,10.22,5.73,완료 (유클리드 1위 일치)
마마4190,129.0719457,36.10118234,8,보현보건진료소,10.18,5.58,완료 (유클리드 1위 일치)
마마2188,128.8495143,36.0858645,23,안천보건진료소,10.18,4.71,완료 (유클리드 1위 일치)
마마1482,128.7709122,36.03263297,28,신령의원,10.18,3.17,완료 (시간순 역전: 후보3 선정)
마마4785,129.1376417,36.05522881,8,사리보건진료소,10.17,8.79,완료 (시간순 역전: 후보2 선정)
마마4070,129.05729,35.92107595,18,북안보건지소,10.08,9.92,완료 (시간순 역전: 후보2 선정)
마마2076,128.8365811,35.97782785,38,청통보건지소,10.07,4.81,완료 (유클리드 1위 일치)
마마2873,128.9248069,35.94976708,23,포도나무한의원,10.07,3.83,완료 (유클리드 1위 일치)
마마1381,128.7596714,36.02373638,5,현대연합의원,10.07,4.47,복구완료 (인접도로 매핑 / 1위 일치)
마마3362,128.9783854,35.84995233,18,명주보건진료소,10.02,3.79,완료 (유클리드 1위 일치)
마마3069,128.9463196,35.91344915,147,의료법인동승의료재단 동승병원,9.98,5.17,완료 (유클리드 1위 일치)
마마4586,129.1156287,36.06454231,23,사리보건진료소,9.97,7.18,완료 (시간순 역전: 후보2 선정)
마마1779,128.803758,36.00523474,78,청통보건지소,9.97,3.94,완료 (유클리드 1위 일치)
마마3972,129.0465608,35.9392447,48,북안보건지소,9.95,6.22,완료 (유클리드 1위 일치)
마마2483,128.8820385,36.04041859,18,화남보건지소,9.95,6.21,완료 (유클리드 1위 일치)
마마2677,128.9032749,35.98608139,38,영천요양병원,9.95,9.77,완료 (유클리드 1위 일치)
마마3167,128.9570688,35.89528883,43,운천보건진료소,9.9,6.04,완료 (유클리드 1위 일치)
마마2997,128.9398277,36.1659472,13,상송보건진료소,9.9,4.22,완료 (유클리드 1위 일치)
마마1385,128.7602459,36.05979116,314,신령의원,9.88,5.95,완료 (시간순 역전: 후보3 선정)
마마3379,128.9812408,36.00317399,58,임고보건지소,9.87,5.3,완료 (시간순 역전: 후보3 선정)
마마2291,128.8610849,36.11277865,13,안천보건진료소,9.83,5.36,완료 (유클리드 1위 일치)
마마3185,128.9600543,36.05752373,18,평천보건진료소,9.82,4.66,완료 (유클리드 1위 일치)
마마2980,128.9370354,36.01272688,58,의료법인현보의료재단 해오름요양병원,9.77,3.58,완료 (유클리드 1위 일치)
마마4283,129.0817871,36.03794936,18,사리보건진료소,9.73,8.8,복구완료 (시간이상치 -> 주변평균 대체)
마마3976,129.0472639,35.97529556,53,육군3사관학교치과의원,9.72,6,완료 (시간순 역전: 후보2 선정)
마마2663,128.901047,35.85989445,53,대창보건지소,9.72,3.73,완료 (유클리드 1위 일치)
마마2085,128.8379518,36.05894894,63,신녕보건지소,9.72,6.84,완료 (시간순 역전: 후보3 선정)
마마3770,129.0240489,35.9215026,5,북안보건지소,9.7,4.76,완료 (시간순 역전: 후보2 선정)
마마1676,128.7922235,35.97831385,63,청통보건지소,9.68,5.26,완료 (유클리드 1위 일치)
마마2878,128.9256171,35.99483303,108,의료법인현보의료재단 해오름요양병원,9.67,9.74,완료 (유클리드 1위 일치)
마마1480,128.7706226,36.0146056,83,현대연합의원,9.63,4.1,완료 (유클리드 1위 일치)
마마3073,128.9469766,35.94950181,23,다산한의원,9.63,3.15,완료 (유클리드 1위 일치)
마마4292,129.0834128,36.11906075,63,보현보건진료소,9.63,6.05,복구완료 (시간이상치 -> 주변평균 대체)
마마3885,129.0377513,36.05655206,5,사리보건진료소,9.58,8.55,복구완료 (시간이상치 -> 주변평균 대체)
마마2273,128.8582962,35.95053834,141,금호의원,9.58,3.97,완료 (유클리드 1위 일치)
마마3890,129.0386291,36.10161489,5,자양보건지소,9.55,4.12,완료 (유클리드 1위 일치)
마마3479,128.9923329,36.00303648,58,육군3사관학교의원,9.55,4.95,완료 (유클리드 1위 일치)
마마3083,128.948624,36.03963247,8,평천보건진료소,9.53,5.05,복구완료 (시간이상치 -> 주변평균 대체)
마마3985,129.0488505,36.05640914,5,사리보건진료소,9.53,7.74,복구완료 (시간이상치 -> 주변평균 대체)
마마2782,128.9151703,36.03101702,23,영천요양병원,9.52,6.5,완료 (시간순 역전: 후보2 선정)
마마4291,129.0832319,36.11004844,68,보현보건진료소,9.5,6.2,완료 (유클리드 1위 일치)
마마1582,128.7820093,36.03251483,18,현대연합의원,9.48,2.82,완료 (유클리드 1위 일치)
마마2784,128.9154929,36.04904327,23,화남보건지소,9.47,4.43,완료 (유클리드 1위 일치)
마마4273,129.0799884,35.94782423,8,파계보건진료소,9.47,5.26,완료 (유클리드 1위 일치)
마마2185,128.8490524,36.05882451,8,화남보건지소,9.4,4.35,완료 (시간순 역전: 후보2 선정)
마마1776,128.803313,35.97819389,13,청통보건지소,9.38,5.45,완료 (유클리드 1위 일치)
마마2965,128.9345891,35.87752906,33,운천보건진료소,9.35,3.68,완료 (유클리드 1위 일치)
마마2678,128.9034346,35.99509464,18,영천요양병원,9.33,8.88,완료 (유클리드 1위 일치)
마마3263,128.9674807,35.85910125,8,운천보건진료소,9.33,3.02,완료 (유클리드 1위 일치)
마마2466,128.8793706,35.88719124,48,대창보건지소,9.33,3.87,완료 (유클리드 1위 일치)
마마3575,129.002741,35.96684652,8,의료법인자혜의료재단 영천제이병원,9.32,8.39,완료 (시간순 역전: 후보3 선정)
마마2862,128.9230307,35.85062076,98,운천보건진료소,9.32,5.13,완료 (유클리드 1위 일치)
마마3682,129.0150343,36.02979666,28,임고보건지소,9.32,4.79,완료 (시간순 역전: 후보2 선정)
마마3662,129.0115972,35.84953904,5,명주보건진료소,9.3,3.4,완료 (유클리드 1위 일치)
마마3080,128.948129,36.01259342,8,현대중앙의원,9.3,3.21,완료 (시간순 역전: 후보2 선정)
마마4471,129.1017921,35.9295053,5,파계보건진료소,9.28,5.8,완료 (유클리드 1위 일치)
마마1677,128.7923705,35.98732752,58,청통보건지소,9.27,4.19,완료 (유클리드 1위 일치)
마마4671,129.1239543,35.92920749,13,파계보건진료소,9.23,6.66,완료 (유클리드 1위 일치)
마마3767,129.0235304,35.89446394,148,북안동산의원,9.23,3.65,완료 (유클리드 1위 일치)
마마2595,128.8950469,36.14844764,33,상송보건진료소,9.22,2.46,완료 (유클리드 1위 일치)
마마1488,128.7717823,36.08671475,5,신령의원,9.18,5.63,복구완료 (인접도로 매핑 / 시간역전: 후보3)
마마2382,128.8707844,36.03153271,5,화산보건지소,9.18,2.93,완료 (시간순 역전: 후보2 선정)
마마2988,128.9383468,36.08483107,43,화북보건지소,9.15,6.11,완료 (유클리드 1위 일치)
마마2468,128.8796834,35.9052182,263,바위치과의원,9.13,4.63,완료 (시간순 역전: 후보3 선정)
마마2179,128.8481304,36.00474416,38,우천보건진료소,9.13,3.28,완료 (시간순 역전: 후보2 선정)
마마2762,128.9119596,35.85075139,18,운천보건진료소,9.07,4.6,완료 (시간순 역전: 후보2 선정)
마마2968,128.9350771,35.90456888,118,의료법인동승의료재단 동승병원,9.03,4.16,완료 (시간순 역전: 후보2 선정)
마마3671,129.0131401,35.93065567,92,북안보건지소,9.02,7.5,복구완료 (시간이상치 -> 주변평균 대체)
마마3762,129.0226677,35.84939923,18,명주보건진료소,9.02,2.92,복구완료 (시간이상치 -> 주변평균 대체)
마마3886,129.0379267,36.06556465,8,평천보건진료소,9.02,5.99,완료 (시간순 역전: 후보3 선정)
마마3275,128.9694799,35.96725851,13,이동준내과의원,9,3.27,완료 (시간순 역전: 후보3 선정)
마마3776,129.025088,35.97557953,83,육군3사관학교의원,8.98,3.75,완료 (유클리드 1위 일치)
마마3387,128.9825921,36.07527688,5,평천보건진료소,8.97,4.17,복구완료 (인접도로 매핑 / 시간역전: 후보2)
마마2893,128.9280586,36.13002873,28,화북보건지소,8.95,3.81,완료 (유클리드 1위 일치)
마마4781,129.1368954,36.01918002,18,삼포보건진료소,8.95,4.8,완료 (유클리드 1위 일치)
마마4174,129.0690827,35.95698228,8,고경보건지소,8.92,6.51,완료 (시간순 역전: 후보2 선정)
마마2083,128.8376467,36.04092213,23,신녕보건지소,8.9,5.65,완료 (시간순 역전: 후보3 선정)
마마4188,129.0715867,36.08315754,28,자양보건지소,8.9,6.21,완료 (시간순 역전: 후보2 선정)
