grid_id,target_bus_stop,target_stop_id,euclid_dist_m,final_walk_dist_m,calc_method,elderly_walk_time_min
마마2962, 용호포도밭(대창방면),570671.0,183.8,372.6,Detour_Model_2.027,8.9
마마2862, 신광1리(대창방면),570673.0,225.0,456.1,Detour_Model_2.027,10.9
마마3062, 영지사못밑(영지사방면),570665.0,459.6,931.6,Detour_Model_2.027,22.2
마마2863, 신광판넬공장(대창방면),570676.0,344.7,698.7,Detour_Model_2.027,16.6
마마3361, 상리(영천방면),571384.0,1545.4,3132.5,Detour_Model_2.027,74.6
마마3561, 상리(영천방면),571384.0,1122.9,2276.1,Detour_Model_2.027,54.2
마마3362, 상리(영천방면),571384.0,1118.8,2267.8,Detour_Model_2.027,54.0
마마3562, 상리회관,571383.0,809.7,1641.3,Detour_Model_2.027,39.1
마마3462, 상리(영천방면),571384.0,135.2,274.1,Detour_Model_2.027,6.5
마마3563, 당1리(영천방면),571661.0,545.5,1105.7,Detour_Model_2.027,26.3
마마3463, 당2리(상리방면),571385.0,228.2,462.6,Detour_Model_2.027,11.0
마마3464, 북리마을회관건너,570622.0,341.4,692.0,Detour_Model_2.027,16.5
마마3260, 영지사,570667.0,2332.2,4727.4,Detour_Model_2.027,112.6
마마3160, 영지사,570667.0,1113.7,2257.5,Detour_Model_2.027,53.8
마마3161, 영지사,570667.0,692.6,1403.9,Detour_Model_2.027,33.4
마마3261, 영지사,570667.0,1787.0,3622.2,Detour_Model_2.027,86.2
마마3163, 운천리.직천못밑(직천방면),570619.0,714.5,1448.3,Detour_Model_2.027,34.5
마마3263, 직천(대창방면),570629.0,583.5,1182.8,Detour_Model_2.027,28.2
마마3363, 북리(도유리방면),570626.0,190.1,385.3,Detour_Model_2.027,9.2
마마3164, 운천리.직천못밑(대창방면),570630.0,249.7,506.1,Detour_Model_2.027,12.0
마마2761, 신광1리(대창방면),570673.0,1493.6,3027.5,Detour_Model_2.027,72.1
마마2662, 조곡리,570648.0,408.5,828.0,Detour_Model_2.027,19.7
마마2562, 구지리,570714.0,373.4,756.9,Detour_Model_2.027,18.0
마마2762, 조곡리마을회관,570647.0,943.8,1913.1,Detour_Model_2.027,45.6
마마2663, 조곡4교(조곡방면),570646.0,240.3,487.1,Detour_Model_2.027,11.6
마마2563, 구지리,570714.0,628.0,1273.0,Detour_Model_2.027,30.3
마마2763, 조곡4교(대창방면),570650.0,288.0,583.8,Detour_Model_2.027,13.9
마마2764, 신광삼거리(영지사입구),570612.0,425.8,863.1,Detour_Model_2.027,20.6
마마2664, 대창초등학교,570653.0,340.8,690.8,Detour_Model_2.027,16.4
마마4671, 황수탕,570387.0,800.8,1623.2,Detour_Model_2.027,38.6
마마4672, 논실종점,571521.0,487.0,987.1,Detour_Model_2.027,23.5
마마4572, 덕정리(황수탕방면),570386.0,551.5,1117.9,Detour_Model_2.027,26.6
마마4673, 옛숫골(영천방면),571523.0,631.7,1280.5,Detour_Model_2.027,30.5
마마4573, 옛숫골(논실방면),571519.0,399.3,809.4,Detour_Model_2.027,19.3
마마2963, 나무와학교입구,570635.0,365.0,739.9,Detour_Model_2.027,17.6
마마3063, 운천보건진료소건너,570633.0,497.3,1008.0,Detour_Model_2.027,24.0
마마2964, 오길마을(대창방면),570642.0,20.2,40.9,Detour_Model_2.027,1.0
마마2864, 신광삼거리(영지사입구건너),570645.0,451.1,914.4,Detour_Model_2.027,21.8
마마3064, 용전리(대창방면),570632.0,425.5,862.5,Detour_Model_2.027,20.5
마마3065, 오길종점,570640.0,597.5,1211.1,Detour_Model_2.027,28.8
마마2965, 오길저수지건너,570641.0,386.9,784.2,Detour_Model_2.027,18.7
마마2866, 대곡종점,571297.0,718.7,1456.8,Detour_Model_2.027,34.7
마마3364, 북리(당리방면),570621.0,261.1,529.2,Detour_Model_2.027,12.6
마마3264, 직천리,570627.0,207.6,420.8,Detour_Model_2.027,10.0
마마3365, 도유리,571476.0,362.7,735.2,Detour_Model_2.027,17.5
마마3265, 직천리,570627.0,895.8,1815.8,Detour_Model_2.027,43.2
마마3165, 용전마을회관,571487.0,663.2,1344.3,Detour_Model_2.027,32.0
마마3166, 용수골,571755.0,817.9,1657.9,Detour_Model_2.027,39.5
마마3367, 유상2리마을회관,571349.0,1504.1,3048.8,Detour_Model_2.027,72.6
마마2564, 대창농장(구지방면),570713.0,222.2,450.4,Detour_Model_2.027,10.7
마마2765, 용화사입구,570677.0,496.8,1007.0,Detour_Model_2.027,24.0
마마2665, 대재리.마을회관건너,570655.0,205.3,416.1,Detour_Model_2.027,9.9
마마2565, 사리1리삼거리(사리방면),570692.0,381.5,773.3,Detour_Model_2.027,18.4
마마2566, 포척(대창방면),570605.0,218.8,443.5,Detour_Model_2.027,10.6
마마2766, 대운저수지삼거리(대재방면),570688.0,252.8,512.4,Detour_Model_2.027,12.2
마마2666, 병암리1(대재방면),570686.0,330.7,670.3,Detour_Model_2.027,16.0
마마2767, 호남리회관건너,570736.0,349.1,707.6,Detour_Model_2.027,16.8
마마2667, 병암리마을회관건너,570684.0,638.3,1293.8,Detour_Model_2.027,30.8
마마2567, 강회(금호방면),570722.0,103.0,208.8,Detour_Model_2.027,5.0
마마2867, 대곡1리.유곡마을(대곡방면),571295.0,337.2,683.5,Detour_Model_2.027,16.3
마마2967, 약남2리종점,571666.0,654.7,1327.1,Detour_Model_2.027,31.6
마마2968, 약남2리입구(영천방면),571664.0,380.7,771.7,Detour_Model_2.027,18.4
마마2868, 약남2리(대곡방면),571292.0,283.1,573.8,Detour_Model_2.027,13.7
마마2969, 구암리.가암새못밑(영천방면),571305.0,391.9,794.4,Detour_Model_2.027,18.9
마마2869, 구암2리(구암방면),571288.0,461.8,936.1,Detour_Model_2.027,22.3
마마3368, 유상2리마을회관,571349.0,534.7,1083.8,Detour_Model_2.027,25.8
마마3369, 유상2리입구(영천방면),571350.0,516.4,1046.7,Detour_Model_2.027,24.9
마마3269, 유상2리(유상방면),571347.0,451.2,914.6,Detour_Model_2.027,21.8
마마3270, 유상1리소나무(유상방면),571345.0,579.5,1174.6,Detour_Model_2.027,28.0
마마3370, 유상1리소나무(영천방면),571353.0,507.9,1029.5,Detour_Model_2.027,24.5
마마2668, 대성낚시터건너,710698.0,539.7,1094.0,Detour_Model_2.027,26.0
마마2568, 오계(금호방면),571671.0,144.1,292.1,Detour_Model_2.027,7.0
마마2768, 대승지못끝(금호방면),570741.0,183.1,371.1,Detour_Model_2.027,8.8
마마2669, 어은리경로당건너,570743.0,375.5,761.1,Detour_Model_2.027,18.1
마마2569, 금호오계공단입구건너,570598.0,374.2,758.5,Detour_Model_2.027,18.1
마마2670, 관정리(도동방면),571281.0,357.5,724.7,Detour_Model_2.027,17.3
마마2770, 황정리(도동방면),571282.0,417.0,845.3,Detour_Model_2.027,20.1
마마2570, 어은동 공장,571663.0,268.7,544.7,Detour_Model_2.027,13.0
마마2771, 봉죽2리,571569.0,123.5,250.3,Detour_Model_2.027,6.0
마마2970, 영천도축장 입구건너,571308.0,527.1,1068.4,Detour_Model_2.027,25.4
마마2870, 화랑설화마을 앞,571753.0,598.7,1213.6,Detour_Model_2.027,28.9
마마2871, 도동교(금호방면),571265.0,422.1,855.6,Detour_Model_2.027,20.4
마마3271, 유하동(유상방면),571343.0,403.9,818.7,Detour_Model_2.027,19.5
마마3371, 유하동(유상방면),571343.0,621.6,1260.0,Detour_Model_2.027,30.0
